dir,text
r001.jpg,一个在城市前面的桌子上堆放硬币的机器人
r002.jpg,手里拿着地球仪的机器人
r003.jpg,一个穿着机器人服的人的特写
r004.jpg,一个机器人拿着笔记本电脑躺下的图像
r005.jpg,一个举着灯的机器人的三维绘制
r006.jpg,一个机器人站在白色背景前的图像
r007.jpg,用金属丝对机器人面部的特写
r008.jpg,灰色背景下机器人的三维模型
r009.jpg,手里拿着植物的机器人
r010.jpg,黑暗背景下的机器人图像
r011.jpg,具有未来主义界面的机器人图像
r012.jpg,拿着乒乓球拍的机器人
r013.jpg,一群在办公室里用笔记本电脑工作的机器人
r014.jpg,一个机器人举起一个蓝色立方体
r015.jpg,黑色背景下仿人机器人的三维绘制
r016.jpg,一个手放在头上的机器人的特写
r017.jpg,一个机器人看东西的黑白图像
r018.jpg,一个蓝眼睛的白色机器人站在白色背景前
r019.jpg,一群在仓库里工作的机器人
r020.jpg,三个拿着笔记本电脑坐在桌子旁的机器人
r021.jpg,坐在地上的机器人的图像
r022.jpg,一群在传送带上工作的机器人
r023.jpg,一个机器人正在指着一个未来派的屏幕
r024.jpg,机器人发出声波的图像
r025.jpg,未来环境中的未来机器人
r026.jpg,一个带听诊器的机器人的图像
r027.jpg,两个机器人用拳头互相打斗
r028.jpg,一个机器人站在黑色背景前的图像
r029.jpg,举起木槌的机器人
r030.jpg,给盆栽浇水的机器人
r031.jpg,一个和机器人下棋的女人
r032.jpg,一个机器人站在电脑屏幕前
r033.jpg,机器人头部的特写
